id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	Cardiomyocyte|Cardiomyocyte	Cardiomyocyte|Other	Other|Cardiomyocyte	Other|Other
CPI-SC046604E76	COL4A2_integrin_a2b1_complex	simple:P08572	complex:integrin_a2b1_complex	COL4A2		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.674	0.853	0.811	0.99
CPI-SC0926FDACC	COL4A3_integrin_a2b1_complex	simple:Q01955	complex:integrin_a2b1_complex	COL4A3		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.026	0.206	0.02	0.199
CPI-SC072376C7B	COL4A4_integrin_a2b1_complex	simple:P53420	complex:integrin_a2b1_complex	COL4A4		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.04	0.22	0.026	0.206
CPI-SC0C287AFC3	COL4A5_integrin_a2b1_complex	simple:P29400	complex:integrin_a2b1_complex	COL4A5		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.586	0.765	0.275	0.455
CPI-SC0FDD31EAB	COL4A6_integrin_a2b1_complex	simple:Q14031	complex:integrin_a2b1_complex	COL4A6		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.267	0.447	0.079	0.259
CPI-SC0681DB40E	COL5A1_integrin_a2b1_complex	simple:P20908	complex:integrin_a2b1_complex	COL5A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.261	0.441	0.3	0.48
CPI-SC0345262E7	COL5A2_integrin_a2b1_complex	simple:P05997	complex:integrin_a2b1_complex	COL5A2		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.583	0.762	0.433	0.612
CPI-SC0CCB0D955	COL6A1_integrin_a2b1_complex	simple:P12109	complex:integrin_a2b1_complex	COL6A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.149	0.329	0.101	0.28
CPI-SC01A5C5096	COL6A2_integrin_a2b1_complex	simple:P12110	complex:integrin_a2b1_complex	COL6A2		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.052	0.232	0.245	0.425
CPI-SC084C79E20	COL6A3_integrin_a2b1_complex	simple:P12111	complex:integrin_a2b1_complex	COL6A3		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.018	0.197	0.045	0.224
CPI-SC00D0AFED0	COL6A6_integrin_a2b1_complex	simple:A6NMZ7	complex:integrin_a2b1_complex	COL6A6		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.019	0.198	0.019	0.198
CPI-SC05640277E	COL7A1_integrin_a2b1_complex	simple:Q02388	complex:integrin_a2b1_complex	COL7A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.047	0.226	0.021	0.2
CPI-SC0B3564B15	COL8A1_integrin_a2b1_complex	simple:P27658	complex:integrin_a2b1_complex	COL8A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.031	0.21	0.143	0.322
CPI-SC00065C95C	COL9A1_integrin_a2b1_complex	simple:P20849	complex:integrin_a2b1_complex	COL9A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.124	0.303	0.029	0.208
CPI-SC0A916E0E2	COL9A2_integrin_a2b1_complex	simple:Q14055	complex:integrin_a2b1_complex	COL9A2		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.016	0.196	0.017	0.196
CPI-SC0BB68FB34	COL9A3_integrin_a2b1_complex	simple:Q14050	complex:integrin_a2b1_complex	COL9A3		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.017	0.197	0.016	0.195
CPI-SC01D1C56CC	FN1_integrin_a2b1_complex	simple:P02751	complex:integrin_a2b1_complex	FN1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Fibronectin	0.331	0.51	0.917	1.097
CPI-SC0A460766C	LAMC1_integrin_a2b1_complex	simple:P11047	complex:integrin_a2b1_complex	LAMC1		True	False	False	curated	True	Ligand-Receptor	Adhesion by Laminin	0.304	0.483	0.363	0.543
CPI-SS0EE09A201	CDH2_CDH2	simple:P19022	simple:P19022	CDH2	CDH2	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	1.881	1.464	1.464	1.047
CPI-SS0DA0F5556	CDH3_CDH3	simple:P22223	simple:P22223	CDH3	CDH3	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.068	0.04	0.04	0.011
CPI-SS00C24ED50	CDH5_CDH5	simple:P33151	simple:P33151	CDH5	CDH5	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.016	0.343	0.343	0.67
CPI-SS0C53F7672	CDH6_CDH6	simple:P55285	simple:P55285	CDH6	CDH6	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.003	0.015	0.015	0.027
CPI-SS0BE3D537D	CDH7_CDH7	simple:Q9ULB5	simple:Q9ULB5	CDH7	CDH7	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.001	0.004	0.004	0.006
CPI-SS0889E281D	CADM1_CADM1	simple:Q9BY67	simple:Q9BY67	CADM1	CADM1	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by CADM	0.885	0.604	0.604	0.323
CPI-SS0B990492C	CADM1_NECTIN3	simple:Q9BY67	simple:Q9NQS3	CADM1	NECTIN3	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by CADM	0.567	0.594	0.287	0.313
CPI-SS0C5E9FBFB	NECTIN1_NECTIN3	simple:Q15223	simple:Q9NQS3	NECTIN1	NECTIN3	True	True	False	curated	False	Adhesion-Adhesion	Adhesion by Nectin	0.234	0.26	0.148	0.174
CPI-SS02FBD007E	NECTIN2_NECTIN3	simple:Q92692	simple:Q9NQS3	NECTIN2	NECTIN3	False	True	False	curated	False	Adhesion-Adhesion	Adhesion by Nectin	0.348	0.374	0.328	0.354
CPI-SC04FA882F7	COL10A1_integrin_a1b1_complex	simple:Q03692	complex:integrin_a1b1_complex	COL10A1		True	False	False	curated	True	Ligand-Receptor	Adhesion by Collagen/Integrin	0.111	0.343	0.107	0.339
CPI-SC0E53A238E	COL11A1_integrin_a1b1_complex	simple:P12107	complex:integrin_a1b1_complex	COL11A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.12	0.352	0.265	0.497
CPI-SC071163509	COL11A2_integrin_a1b1_complex	simple:P13942	complex:integrin_a1b1_complex	COL11A2		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.181	0.413	0.111	0.342
CPI-SC0E83A4B71	COL12A1_integrin_a1b1_complex	simple:Q99715	complex:integrin_a1b1_complex	COL12A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.172	0.404	0.172	0.404
CPI-SC0FCF853DB	COL13A1_integrin_a1b1_complex	simple:Q5TAT6	complex:integrin_a1b1_complex	COL13A1		False	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.249	0.481	0.193	0.425
CPI-SC0AB5FBF10	COL14A1_integrin_a1b1_complex	simple:Q05707	complex:integrin_a1b1_complex	COL14A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.115	0.347	0.108	0.339
CPI-SC027893337	COL15A1_integrin_a1b1_complex	simple:P39059	complex:integrin_a1b1_complex	COL15A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.11	0.342	0.386	0.618
CPI-SC06AD39F88	COL16A1_integrin_a1b1_complex	simple:Q07092	complex:integrin_a1b1_complex	COL16A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.186	0.418	0.114	0.346
CPI-SC0C841033A	COL17A1_integrin_a1b1_complex	simple:Q9UMD9	complex:integrin_a1b1_complex	COL17A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.104	0.336	0.104	0.336
CPI-SC0C739EDCE	COL18A1_integrin_a1b1_complex	simple:P39060	complex:integrin_a1b1_complex	COL18A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.818	1.049	0.435	0.667
CPI-SC079D293A2	COL19A1_integrin_a1b1_complex	simple:Q14993	complex:integrin_a1b1_complex	COL19A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.16	0.392	0.113	0.344
CPI-SC08DBCCFF0	COL1A1_integrin_a1b1_complex	simple:P02452	complex:integrin_a1b1_complex	COL1A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.264	0.495	0.608	0.84
CPI-SC09DB9D20A	COL1A2_integrin_a1b1_complex	simple:P08123	complex:integrin_a1b1_complex	COL1A2		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.298	0.53	0.541	0.773
CPI-SC065DB6486	COL21A1_integrin_a1b1_complex	simple:Q96P44	complex:integrin_a1b1_complex	COL21A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.223	0.454	0.212	0.443
CPI-SC0713C9654	COL22A1_integrin_a1b1_complex	simple:Q8NFW1	complex:integrin_a1b1_complex	COL22A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.196	0.428	0.142	0.374
CPI-SC073A7317A	COL24A1_integrin_a1b1_complex	simple:Q17RW2	complex:integrin_a1b1_complex	COL24A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.105	0.337	0.11	0.342
CPI-SC01E6BE079	COL26A1_integrin_a1b1_complex	simple:Q96A83	complex:integrin_a1b1_complex	COL26A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.105	0.337	0.107	0.339
CPI-SC050F64BB5	COL27A1_integrin_a1b1_complex	simple:Q8IZC6	complex:integrin_a1b1_complex	COL27A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.167	0.399	0.146	0.378
CPI-SC01C274A51	COL28A1_integrin_a1b1_complex	simple:Q2UY09	complex:integrin_a1b1_complex	COL28A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.11	0.342	0.106	0.338
CPI-SC0EA8ABCFD	COL2A1_integrin_a1b1_complex	simple:P02458	complex:integrin_a1b1_complex	COL2A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.149	0.381	0.11	0.342
CPI-SC00367777A	COL3A1_integrin_a1b1_complex	simple:P02461	complex:integrin_a1b1_complex	COL3A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.159	0.391	0.436	0.668
CPI-SC0744E13CB	COL4A1_integrin_a1b1_complex	simple:P02462	complex:integrin_a1b1_complex	COL4A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.642	0.874	1.083	1.315
CPI-SC03F728659	COL4A2_integrin_a1b1_complex	simple:P08572	complex:integrin_a1b1_complex	COL4A2		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.762	0.993	0.899	1.131
CPI-SC0886D58EF	COL4A3_integrin_a1b1_complex	simple:Q01955	complex:integrin_a1b1_complex	COL4A3		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.114	0.346	0.108	0.339
CPI-SC04ABF0023	COL4A4_integrin_a1b1_complex	simple:P53420	complex:integrin_a1b1_complex	COL4A4		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.128	0.36	0.114	0.346
CPI-SC042B580A3	COL4A5_integrin_a1b1_complex	simple:P29400	complex:integrin_a1b1_complex	COL4A5		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.674	0.905	0.363	0.595
CPI-SC0C8B6ACF5	COL4A6_integrin_a1b1_complex	simple:Q14031	complex:integrin_a1b1_complex	COL4A6		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.355	0.587	0.167	0.399
CPI-SC0592501EA	COL5A1_integrin_a1b1_complex	simple:P20908	complex:integrin_a1b1_complex	COL5A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.349	0.581	0.388	0.62
CPI-SC037A0554C	COL5A2_integrin_a1b1_complex	simple:P05997	complex:integrin_a1b1_complex	COL5A2		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.671	0.903	0.521	0.753
CPI-SC0549A759B	COL6A1_integrin_a1b1_complex	simple:P12109	complex:integrin_a1b1_complex	COL6A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.237	0.469	0.189	0.421
CPI-SC0F9FB6DCB	COL6A2_integrin_a1b1_complex	simple:P12110	complex:integrin_a1b1_complex	COL6A2		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.14	0.372	0.333	0.565
CPI-SC0ECDD1074	COL6A3_integrin_a1b1_complex	simple:P12111	complex:integrin_a1b1_complex	COL6A3		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.106	0.338	0.133	0.365
CPI-SC0D3870098	COL6A6_integrin_a1b1_complex	simple:A6NMZ7	complex:integrin_a1b1_complex	COL6A6		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.107	0.339	0.107	0.339
CPI-SC0E509A5C6	COL7A1_integrin_a1b1_complex	simple:Q02388	complex:integrin_a1b1_complex	COL7A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.135	0.367	0.109	0.341
CPI-SC03760D980	COL8A1_integrin_a1b1_complex	simple:P27658	complex:integrin_a1b1_complex	COL8A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.119	0.35	0.231	0.463
CPI-SC070BECDC9	COL9A1_integrin_a1b1_complex	simple:P20849	complex:integrin_a1b1_complex	COL9A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.212	0.444	0.117	0.349
CPI-SC0270AA5D9	COL9A2_integrin_a1b1_complex	simple:Q14055	complex:integrin_a1b1_complex	COL9A2		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.104	0.336	0.105	0.336
CPI-SC0DC74CBE5	COL9A3_integrin_a1b1_complex	simple:Q14050	complex:integrin_a1b1_complex	COL9A3		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.105	0.337	0.104	0.336
CPI-SC03AF43F8B	SEMA7A_integrin_a1b1_complex	simple:O75326	complex:integrin_a1b1_complex	SEMA7A		False	False	False	curated	True	Ligand-Receptor	Signaling by Semaphorin	0.11	0.342	0.112	0.344
CPI-SC0B4F620A6	COL10A1_integrin_a10b1_complex	simple:Q03692	complex:integrin_a10b1_complex	COL10A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.02	0.025	0.017	0.022
CPI-SC0B991F6B1	COL11A1_integrin_a10b1_complex	simple:P12107	complex:integrin_a10b1_complex	COL11A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.029	0.034	0.174	0.179
CPI-SC034D4CF73	COL11A2_integrin_a10b1_complex	simple:P13942	complex:integrin_a10b1_complex	COL11A2		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.091	0.096	0.02	0.025
CPI-SC0EC720659	COL12A1_integrin_a10b1_complex	simple:Q99715	complex:integrin_a10b1_complex	COL12A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.081	0.086	0.081	0.086
CPI-SC0A18569E5	COL13A1_integrin_a10b1_complex	simple:Q5TAT6	complex:integrin_a10b1_complex	COL13A1		False	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.158	0.163	0.102	0.107
CPI-SC0B6D93CD4	COL14A1_integrin_a10b1_complex	simple:Q05707	complex:integrin_a10b1_complex	COL14A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.025	0.029	0.017	0.022
CPI-SC01BE5E1F7	COL15A1_integrin_a10b1_complex	simple:P39059	complex:integrin_a10b1_complex	COL15A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.019	0.024	0.296	0.301
CPI-SC027EF0F68	COL16A1_integrin_a10b1_complex	simple:Q07092	complex:integrin_a10b1_complex	COL16A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.096	0.101	0.024	0.028
CPI-SC00942962B	COL17A1_integrin_a10b1_complex	simple:Q9UMD9	complex:integrin_a10b1_complex	COL17A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.013	0.018	0.013	0.018
CPI-SC039737584	COL18A1_integrin_a10b1_complex	simple:P39060	complex:integrin_a10b1_complex	COL18A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.727	0.732	0.344	0.349
CPI-SC0423059DF	COL19A1_integrin_a10b1_complex	simple:Q14993	complex:integrin_a10b1_complex	COL19A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.069	0.074	0.022	0.027
CPI-SC028882919	COL1A1_integrin_a10b1_complex	simple:P02452	complex:integrin_a10b1_complex	COL1A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.173	0.178	0.517	0.522
CPI-SC07707E049	COL1A2_integrin_a10b1_complex	simple:P08123	complex:integrin_a10b1_complex	COL1A2		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.207	0.212	0.45	0.455
CPI-SC076898564	COL21A1_integrin_a10b1_complex	simple:Q96P44	complex:integrin_a10b1_complex	COL21A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.132	0.137	0.121	0.126
CPI-SC0AA500B63	COL22A1_integrin_a10b1_complex	simple:Q8NFW1	complex:integrin_a10b1_complex	COL22A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.105	0.11	0.051	0.056
CPI-SC09E4E673B	COL24A1_integrin_a10b1_complex	simple:Q17RW2	complex:integrin_a10b1_complex	COL24A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.014	0.019	0.019	0.024
CPI-SC008D5E4B2	COL26A1_integrin_a10b1_complex	simple:Q96A83	complex:integrin_a10b1_complex	COL26A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.014	0.019	0.016	0.021
CPI-SC090152EEE	COL27A1_integrin_a10b1_complex	simple:Q8IZC6	complex:integrin_a10b1_complex	COL27A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.076	0.081	0.055	0.06
CPI-SC0E9AA9087	COL28A1_integrin_a10b1_complex	simple:Q2UY09	complex:integrin_a10b1_complex	COL28A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.019	0.024	0.015	0.02
CPI-SC0AA90A03B	COL2A1_integrin_a10b1_complex	simple:P02458	complex:integrin_a10b1_complex	COL2A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.058	0.063	0.019	0.024
CPI-SC0A7864078	COL3A1_integrin_a10b1_complex	simple:P02461	complex:integrin_a10b1_complex	COL3A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.068	0.073	0.345	0.35
CPI-SC0756B421F	COL4A1_integrin_a10b1_complex	simple:P02462	complex:integrin_a10b1_complex	COL4A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.551	0.556	0.993	0.998
CPI-SC0096917A2	COL4A2_integrin_a10b1_complex	simple:P08572	complex:integrin_a10b1_complex	COL4A2		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.671	0.676	0.808	0.813
CPI-SC0CC8A2F79	COL4A3_integrin_a10b1_complex	simple:Q01955	complex:integrin_a10b1_complex	COL4A3		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.023	0.028	0.017	0.022
CPI-SC030087D4F	COL4A4_integrin_a10b1_complex	simple:P53420	complex:integrin_a10b1_complex	COL4A4		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.037	0.042	0.023	0.028
CPI-SC0F1833AC0	COL4A5_integrin_a10b1_complex	simple:P29400	complex:integrin_a10b1_complex	COL4A5		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.583	0.588	0.272	0.277
CPI-SC0BFDE14E9	COL4A6_integrin_a10b1_complex	simple:Q14031	complex:integrin_a10b1_complex	COL4A6		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.264	0.269	0.076	0.081
CPI-SC05590EDD3	COL5A1_integrin_a10b1_complex	simple:P20908	complex:integrin_a10b1_complex	COL5A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.258	0.263	0.298	0.302
CPI-SC0CED85DDE	COL5A2_integrin_a10b1_complex	simple:P05997	complex:integrin_a10b1_complex	COL5A2		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.58	0.585	0.43	0.435
CPI-SC0251EEF61	COL6A1_integrin_a10b1_complex	simple:P12109	complex:integrin_a10b1_complex	COL6A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.146	0.151	0.098	0.103
CPI-SC07F654CB3	COL6A2_integrin_a10b1_complex	simple:P12110	complex:integrin_a10b1_complex	COL6A2		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.049	0.054	0.242	0.247
CPI-SC059D160BE	COL6A3_integrin_a10b1_complex	simple:P12111	complex:integrin_a10b1_complex	COL6A3		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.015	0.02	0.042	0.047
